Rate,Method,MAE,RMSE,PSNR,SSIM,IoU,Time
0.1,Spectral,32.544877582534156,40.91289407698218,25.84998300204669,0.926848963813933,0.9187377812902957,0.9168050289154053
0.1,DBSCAN,44.20391127982211,52.532056553650264,23.678698969434787,0.9164427922862547,0.9125049053018568,8.69471788406372
0.1,DBSCANR,13.432808242068605,20.92045064069901,31.675766326231045,0.9507258573216512,0.9847697424045995,10.098695755004883
0.1,AR-DBSCAN,39.855537595627005,50.19159903509646,24.074566393596918,0.9218618972607152,0.9330133941534546,6.5738232135772705
0.1,GB-DBSCAN,35.5113788036669,41.57653676597786,25.710220817558476,0.9251206133205794,0.9234141498589195,45.73984909057617
0.1,HDBSCAN,11.911950546177602,19.548835878026644,32.264769021818566,0.956611714159337,0.9806013687245874,7.218422174453735
0.1,KNN-DBSCAN,44.20391127982211,52.532056553650264,23.678698969434787,0.9164427922862547,0.9125049053018568,8.700175523757935
0.1,K-Means,26.35101460484554,32.94877120504391,27.564471931867214,0.9286618692480139,0.9562014878964461,0.4303152561187744
0.1,Spectral,30.070115747750794,34.9331189428726,27.05650913207139,0.9238799312068819,0.988239204473018,0.899120569229126
0.1,DBSCAN,39.17991960332905,46.73543718099725,24.528330192022366,0.9161086010089882,0.9851636357034905,9.183388233184814
0.1,DBSCANR,14.764554465777282,21.786508889907054,31.157503510459193,0.9422350364171448,0.9949411175489462,10.413153648376465
0.1,AR-DBSCAN,38.8879341577793,46.42756557684044,24.585738142213607,0.9163036201166496,0.9851636357034905,7.250017881393433
0.1,GB-DBSCAN,30.532495174440278,35.56920863184631,26.899772327787478,0.9248131120484417,0.9910097071420092,44.29981064796448
0.1,HDBSCAN,13.953024667437335,19.933723343588547,31.929487854521625,0.9469920283684107,0.9924796457977605,6.725955009460449
0.1,KNN-DBSCAN,39.17991960332905,46.73543718099725,24.528330192022366,0.9161086010089882,0.9851636357034905,9.153919219970703
0.1,K-Means,30.35109340194286,38.89487990102609,26.30379566489715,0.9227428554147294,0.9718473163105784,0.38187146186828613
0.1,Spectral,37.30025871972367,48.525312185353684,24.382277599633888,0.9173504484079796,0.9374200808142806,0.886474609375
0.1,DBSCAN,50.281248880506226,58.13498040087173,22.81289375354365,0.9021156031880684,0.8756805070285204,8.220746040344238
0.1,DBSCANR,19.146903324043933,27.190841309266926,29.413191456088082,0.9354049593974518,0.9775336733359488,10.207335472106934
0.1,AR-DBSCAN,50.08037247546512,57.96326531190622,22.83858749922231,0.9023082353969542,0.8756805070285204,4.436553955078125
0.1,GB-DBSCAN,50.16314807120098,58.03117112842361,22.82841765808967,0.9022262477234819,0.8756805070285204,44.322099447250366
0.1,HDBSCAN,16.66250212178678,24.626729166688463,30.273509676427533,0.9441371622053142,0.9871778805247571,6.771026372909546
0.1,KNN-DBSCAN,50.281248880506226,58.13498040087173,22.81289375354365,0.9021156031880684,0.8756805070285204,8.140970706939697
0.1,K-Means,28.00493878995601,33.98454960028292,26.808554848500144,0.9214133959600282,0.9863768955458552,0.3580951690673828
0.1,Spectral,35.69140135568074,45.16264941521823,24.338596991904016,0.9166926566158252,0.9364375920043387,0.9906225204467773
0.1,DBSCAN,59.63589642282465,69.81632077342674,20.55504605282286,0.9003681982488615,0.9436012924703809,9.261783599853516
0.1,DBSCANR,13.343189634978632,20.000012042853033,31.413580076276357,0.9464836519180712,0.9881621827228522,10.16231656074524
0.1,AR-DBSCAN,58.066391316992394,74.43770946168353,19.998325201737867,0.9042531973152025,0.9515957026621376,7.593591213226318
0.1,GB-DBSCAN,58.649939010231996,69.05510493508112,20.650269428694635,0.9009871224586443,0.9447020419366539,44.07034087181091
0.1,HDBSCAN,10.650555756464588,17.33626707849492,32.65507343963925,0.9575361219831177,0.9906869529871213,6.759511470794678
0.1,KNN-DBSCAN,59.63589642282465,69.81632077342674,20.55504605282286,0.9003681982488615,0.9436012924703809,9.291702270507812
0.1,K-Means,28.69122752300789,36.542736723595105,26.75443260772012,0.9212504969450959,0.9655751815866428,0.35981011390686035
0.1,Spectral,28.249543257309327,36.29524258055458,26.813459920292047,0.9217525224687704,0.9538796748731442,0.9048726558685303
0.1,DBSCAN,42.39871804100977,53.625648521716826,23.423002840440247,0.9098692049399492,0.9125047141856582,8.261841535568237
0.1,DBSCANR,16.471330481031057,23.831181939934254,30.46754234158517,0.9374200383611059,0.9821868731138264,10.275593280792236
0.1,AR-DBSCAN,40.97061935598381,54.83967959238565,23.228555813614395,0.9129335928642678,0.9251702909831812,5.654439210891724
0.1,GB-DBSCAN,36.69036261308604,47.3836981099461,24.497874934256487,0.914118291166505,0.91875,46.473870038986206
0.1,HDBSCAN,14.729950434675523,21.416409578255102,31.39552070921195,0.9465269399385051,0.985923347402159,7.114769697189331
0.1,KNN-DBSCAN,42.39871804100977,53.625648521716826,23.423002840440247,0.9098692049399492,0.9125047141856582,8.324981689453125
0.1,K-Means,24.653563093952243,29.654982894564004,28.652127560615526,0.9325655882209215,0.9511175112934724,0.38048291206359863
0.1,Spectral,28.81478324925714,34.65609931409801,27.29848752773073,0.9297274683668199,0.930684027960267,0.8968667984008789
0.1,DBSCAN,37.44509366060164,42.75152137465982,25.475049631136617,0.9213748426894686,0.9252004652016894,7.9663636684417725
0.1,DBSCANR,12.97352228869333,17.82452457727972,33.07372201774572,0.9481732014676918,0.9834261416742361,9.897645711898804
0.1,AR-DBSCAN,37.33066098884432,42.66590483040667,25.492461911900794,0.9215121451120059,0.9252004652016894,8.736406326293945
0.1,GB-DBSCAN,37.03287853979663,42.458235349532124,25.53484231696117,0.9214067645366003,0.9252004652016894,46.956000328063965
0.1,HDBSCAN,10.775955373135044,15.911353252908398,34.05993876278761,0.9561319858202039,0.9868536603080905,7.400085210800171
